"Tidstämpel","Total poäng","Hur gammal är du?","Hur gammal är du? [Poäng]","Hur gammal är du? [Feedback]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder?","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Poäng]","Hur bra bedömer du att du är på att identifiera AI-genererade bilder? [Feedback]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete.","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Poäng]","GDPR:  Jag godkänner att mina anonyma resultat används för detta kandidatexamensarbete. [Feedback]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning.","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Poäng]","Jag förstår att jag har tillåtelse att avsluta formuläret precis när jag vill oavsett anledning. [Feedback]","1. Är bilden AI-genererad?","1. Är bilden AI-genererad? [Poäng]","1. Är bilden AI-genererad? [Feedback]","1. Varför tror du att den är AI-genererad/riktig?","1. Varför tror du att den är AI-genererad/riktig? [Poäng]","1. Varför tror du att den är AI-genererad/riktig? [Feedback]","2. Är bilden AI-genererad?","2. Är bilden AI-genererad? [Poäng]","2. Är bilden AI-genererad? [Feedback]","2. Varför tror du att den är AI-genererad/riktig?","2. Varför tror du att den är AI-genererad/riktig? [Poäng]","2. Varför tror du att den är AI-genererad/riktig? [Feedback]","3. Är bilden AI-genererad?","3. Är bilden AI-genererad? [Poäng]","3. Är bilden AI-genererad? [Feedback]","3. Varför tror du att den är AI-genererad/riktig?","3. Varför tror du att den är AI-genererad/riktig? [Poäng]","3. Varför tror du att den är AI-genererad/riktig? [Feedback]","4. Är bilden AI-genererad?","4. Är bilden AI-genererad? [Poäng]","4. Är bilden AI-genererad? [Feedback]","4. Varför tror du att den är AI-genererad/riktig?","4. Varför tror du att den är AI-genererad/riktig? [Poäng]","4. Varför tror du att den är AI-genererad/riktig? [Feedback]","5. Är bilden AI-genererad?","5. Är bilden AI-genererad? [Poäng]","5. Är bilden AI-genererad? [Feedback]","5. Varför tror du att den är AI-genererad/riktig?","5. Varför tror du att den är AI-genererad/riktig? [Poäng]","5. Varför tror du att den är AI-genererad/riktig? [Feedback]","6. Är bilden AI-genererad?","6. Är bilden AI-genererad? [Poäng]","6. Är bilden AI-genererad? [Feedback]","6. Varför tror du att den är AI-genererad/riktig?","6. Varför tror du att den är AI-genererad/riktig? [Poäng]","6. Varför tror du att den är AI-genererad/riktig? [Feedback]","7. Är bilden AI-genererad?","7. Är bilden AI-genererad? [Poäng]","7. Är bilden AI-genererad? [Feedback]","7. Varför tror du att den är AI-genererad/riktig?","7. Varför tror du att den är AI-genererad/riktig? [Poäng]","7. Varför tror du att den är AI-genererad/riktig? [Feedback]","8. Är bilden AI-genererad?","8. Är bilden AI-genererad? [Poäng]","8. Är bilden AI-genererad? [Feedback]","8. Varför tror du att den är AI-genererad/riktig?","8. Varför tror du att den är AI-genererad/riktig? [Poäng]","8. Varför tror du att den är AI-genererad/riktig? [Feedback]","9. Är bilden AI-genererad?","9. Är bilden AI-genererad? [Poäng]","9. Är bilden AI-genererad? [Feedback]","9. Varför tror du att den är AI-genererad/riktig?","9. Varför tror du att den är AI-genererad/riktig? [Poäng]","9. Varför tror du att den är AI-genererad/riktig? [Feedback]","10. Är bilden AI-genererad?","10. Är bilden AI-genererad? [Poäng]","10. Är bilden AI-genererad? [Feedback]","10. Varför tror du att den är AI-genererad/riktig?","10. Varför tror du att den är AI-genererad/riktig? [Poäng]","10. Varför tror du att den är AI-genererad/riktig? [Feedback]","11. Är bilden AI-genererad?","11. Är bilden AI-genererad? [Poäng]","11. Är bilden AI-genererad? [Feedback]","11. Varför tror du att den är AI-genererad/riktig?","11. Varför tror du att den är AI-genererad/riktig? [Poäng]","11. Varför tror du att den är AI-genererad/riktig? [Feedback]","12. Är bilden AI-genererad?","12. Är bilden AI-genererad? [Poäng]","12. Är bilden AI-genererad? [Feedback]","12. Varför tror du att den är AI-genererad/riktig?","12. Varför tror du att den är AI-genererad/riktig? [Poäng]","12. Varför tror du att den är AI-genererad/riktig? [Feedback]","13. Är bilden AI-genererad?","13. Är bilden AI-genererad? [Poäng]","13. Är bilden AI-genererad? [Feedback]","13. Varför tror du att den är AI-genererad/riktig?","13. Varför tror du att den är AI-genererad/riktig? [Poäng]","13. Varför tror du att den är AI-genererad/riktig? [Feedback]","14. Är bilden AI-genererad?","14. Är bilden AI-genererad? [Poäng]","14. Är bilden AI-genererad? [Feedback]","14. Varför tror du att den är AI-genererad/riktig?","14. Varför tror du att den är AI-genererad/riktig? [Poäng]","14. Varför tror du att den är AI-genererad/riktig? [Feedback]","15. Är bilden AI-genererad?","15. Är bilden AI-genererad? [Poäng]","15. Är bilden AI-genererad? [Feedback]","15. Varför tror du att den är AI-genererad/riktig?","15. Varför tror du att den är AI-genererad/riktig? [Poäng]","15. Varför tror du att den är AI-genererad/riktig? [Feedback]","Kommentar/Fråga (frivillig)","Kommentar/Fråga (frivillig) [Poäng]","Kommentar/Fråga (frivillig) [Feedback]"
"2024/03/20 8:03:32 em EET","14.00 / 15","34","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Ser inga uppenbara brister. Människor är svårt att AI-generera korrekt.","-- / 0","","Ja","1.00 / 1","","Skeva fingrar, plastig hud. Känner igen ""stilen"" från AI.","-- / 0","","Nej","1.00 / 1","","Svår, men såg inga direkt felaktigheter.","-- / 0","","Nej","1.00 / 1","","Ser helt enkelt inget som tyder på AI.","-- / 0","","Ja","1.00 / 1","","Något med pälsen, men kan vara skärpedjupet också.","-- / 0","","Nej","1.00 / 1","","Inga uppenbara fel.","-- / 0","","Nej","1.00 / 1","","Osäker, men det lite skadade bladet får mig att tro att den ändå är ett foto.","-- / 0","","Ja","1.00 / 1","","Osäker på denna, men kan vara AI absolut.","-- / 0","","Nej","1.00 / 1","","Ser inga uppenbara fel + skräp på näbben indikerar på foto.","-- / 0","","Nej","1.00 / 1","","För verkliga händer. För alldagligt utseende.","-- / 0","","Ja","1.00 / 1","","Kan absolut vara makrofoto, men tror AI pga lite för perfekt.","-- / 0","","Nej","1.00 / 1","","Lite för alldaglig vy.","-- / 0","","Nej","1.00 / 1","","För alldagligt utseende. För verkliga händer.","-- / 0","","Nej","0.00 / 1","","Åter igen, för verklig hand.","-- / 0","","Nej","1.00 / 1","","Inga uppenbara fel. Alla detaljer (tassar, tänder m.m.) stämmer.","-- / 0","","Kikar gärna på resultatet! Kickanwicksell@gmail.com ","-- / 0",""
"2024/03/20 10:11:59 em EET","12.00 / 15","31","-- / 0","","1","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Ser äkta ut. ","-- / 0","","Ja","1.00 / 1","","Inte samma skarphet som föregående bild. ","-- / 0","","Nej","1.00 / 1","","Skarp bild, spegling i vattnet. ","-- / 0","","Ja","0.00 / 1","","För lite rörelse i vattnet. ","-- / 0","","Ja","1.00 / 1","","Bildens skarphet, kattens päls. ","-- / 0","","Nej","1.00 / 1","","Skarp, mycket detaljer. ","-- / 0","","Nej","1.00 / 1","","Skarphet i nyckelpiga. ","-- / 0","","Ja","1.00 / 1","","Oskarp, för ""suddiga"" detaljer. ","-- / 0","","Nej","1.00 / 1","","Skarpheten, detaljerna i ansiktet. ","-- / 0","","Ja","0.00 / 1","","Chansning, en känsla. ","-- / 0","","Ja","1.00 / 1","","För ""perfekt"".","-- / 0","","Nej","1.00 / 1","","Ser äkta ut. ","-- / 0","","Ja","0.00 / 1","","För lite detaljer. ","-- / 0","","Ja","1.00 / 1","","För ""perfekt"". ","-- / 0","","Nej","1.00 / 1","","Mycket detaljer, skarphet. ","-- / 0","","","-- / 0",""
"2024/03/21 12:16:30 em EET","11.00 / 15","22","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Lite för ""smooth"" och airbrushed i många ställen. Det är också väldigt studio lighting och ser väldigt ""dramatisk ut""","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","pälsen ser lite suddig och målad ut","-- / 0","","Ja","0.00 / 1","","blommorna har ingen stem","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/21 1:28:26 em EET","12.00 / 15","41","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","De små hårstråna som sticker upp. Sminket ser verkligt ut. ","-- / 0","","Ja","1.00 / 1","","Allt är så rent","-- / 0","","Ja","0.00 / 1","","Starka färger ","-- / 0","","Nej","1.00 / 1","","Ser verklig ut","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Små detaljer som att man ser saltkaret genom vasen","-- / 0","","Nej","1.00 / 1","","Brustet blad. ","-- / 0","","Ja","1.00 / 1","","Allt är så perfekt ","-- / 0","","Nej","1.00 / 1","","Skräp på näbben","-- / 0","","Nej","1.00 / 1","","Vad har han i fickan?","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Känner igen platsen","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Märklig blomma","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Blir nyfiken på att få veta vilka bilder som är AI-genererade och vilka som inte är det ","-- / 0",""
"2024/03/21 2:49:05 em EET","13.00 / 15","29","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Ljuset, det är något animerat över bilden samt handen på mannen är märklig.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Ljuset, lite HDR-aktig samt att den ser animerad ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","Handen","-- / 0","","Ja","1.00 / 1","","Handen","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/21 10:44:56 em EET","14.00 / 15","32","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Handen är avvikande. Kvinnans ansikte ser för slätt ut. Mannens jacka ser märklig ut vid knapparna.","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/22 12:33:54 em EET","7.00 / 15","23","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Ljuset ser sus ut","-- / 0","","Ja","1.00 / 1","","håret plus huden","-- / 0","","Nej","1.00 / 1","","Har inte tillräckligt med kunskap om hur detta djur egentligen ser ut","-- / 0","","Ja","0.00 / 1","","Vattnet ser inte riktigt ut","-- / 0","","Ja","1.00 / 1","","pälsen är fake","-- / 0","","Ja","0.00 / 1","","finns ingen stjälk på blomman","-- / 0","","Ja","0.00 / 1","","ser ut att ha fyra ben endast","-- / 0","","Nej","0.00 / 1","","ser relativt verklig ut väldigt mycket mossa men","-- / 0","","Nej","1.00 / 1","","Vet ej kamerainställningar som skulle kunna skapa detta fokus eller om öronen på detta djur skulle se ut såhär men utifrån vad jag skulle tro så är den riktig","-- / 0","","Nej","1.00 / 1","","Den ser ut att kunna va verklig med bra ljus och setup","-- / 0","","Nej","0.00 / 1","","samma som struts bilden","-- / 0","","Nej","1.00 / 1","","ser tillräckligt verklig ut, endast det bruna i snön till vänster, men skulle kunna vara att snön är rätt tunn","-- / 0","","Ja","0.00 / 1","","håret ser inte ut att hänga rätt med physics, verkar inte blåsa heller","-- / 0","","Ja","1.00 / 1","","chansning för svårt att se, ljuset verkar suspicious","-- / 0","","Ja","0.00 / 1","","vinkeln på kameran gör det svårt att se om den har en bakre kropp men hundar brukar generellt ha benen lite bredare tror jag. Hunden är så fin så hoppas den är riktig","-- / 0","","Det var så svårt att se för  bilderna är väldigt artistic, och har bra kamerainställning och motiv.","-- / 0",""
"2024/03/22 3:16:24 em EET","10.00 / 15","32","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/22 4:29:01 em EET","7.00 / 15","56","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Överlapp på en framtand","-- / 0","","Ja","1.00 / 1","","Olika muggar. Hyn och skägg är fade:ade","-- / 0","","Ja","0.00 / 1","","Verkar ha hår istf fjädrar","-- / 0","","Ja","0.00 / 1","","Ser ut att vara höst så inverkar malplacerat. Samt islossningen verkar onaturlig","-- / 0","","Nej","0.00 / 1","","Behåringen ser äkta ut ","-- / 0","","Nej","1.00 / 1","","Ovanligt Att man dukar med glas upp och ner. Så en medelvärdesbildning borde vända dem rätt.","-- / 0","","Ja","0.00 / 1","","Ljuset på nyckelpigans ben och det gröna ser lite mysko ut","-- / 0","","Ja","1.00 / 1","","Vattendraget tar slut lite oförklarligt","-- / 0","","Ja","0.00 / 1","","Varför bara fokus kring ögat.","-- / 0","","Ja","0.00 / 1","","Ljuset","-- / 0","","Ja","1.00 / 1","","Tårna ser it att vara i vattnet","-- / 0","","Ja","0.00 / 1","","Felplacerade hus","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Skitiga tassarna verkar äkta","-- / 0","","","-- / 0",""
"2024/03/22 10:37:33 em EET","6.00 / 15","60","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Håret och bakgrunden","-- / 0","","Ja","1.00 / 1","","Hans hand","-- / 0","","Ja","0.00 / 1","","Färgen och spegelbilden","-- / 0","","Ja","0.00 / 1","","Isen","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Svårt ","-- / 0",""
"2024/03/22 10:51:59 em EET","8.00 / 15","61","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Det är jättesvårt att se skillnad","-- / 0",""
"2024/03/25 12:24:51 fm EET","12.00 / 15","21","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Man ser mycket verkliga detaljer","-- / 0","","Ja","1.00 / 1","","Ansikten ser för smooth ut","-- / 0","","Ja","0.00 / 1","","Vattnet","-- / 0","","Ja","0.00 / 1","","Is klumpar mitt i vattnet ","-- / 0","","Ja","1.00 / 1","","Kattens päls ser för smmoth ut","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","Skulle kunna vara riktig men också AI","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/25 11:07:06 fm EET","13.00 / 15","28","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Hur backgrunden inte är i focus, och inga konstiga skuggor.","-- / 0","","Ja","1.00 / 1","","Hans hand med kaffet ser lite rolig ut, sen är det något med tänderna på båda","-- / 0","","Ja","0.00 / 1","","Vattnet","-- / 0","","Nej","1.00 / 1","","Reflektionerna i vattnet ser vanliga ut","-- / 0","","Ja","1.00 / 1","","Det är något med pelsen fram till som känns fake","-- / 0","","Nej","1.00 / 1","","hur ljuset faller på alla objekt","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Känns inte som att refletionen i vattnet matchar","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Den ser inte riktig ut att sitta på den stocken, samt att det ser ut som två random tår längst till höger","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Vill bara säga ja för om tre konstiga bladen","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/26 7:52:41 em EET","5.00 / 15","88","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Svårt","-- / 0",""
"2024/03/26 8:09:18 em EET","9.00 / 15","85","-- / 0","","2","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/26 9:10:31 em EET","12.00 / 15","45","-- / 0","","3","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Ja","0.00 / 1","","Något med hennes ögon ser konstigt ut ","-- / 0","","Ja","1.00 / 1","","Killens hand är konstig. Ser ""ritad"" ut. ","-- / 0","","Nej","1.00 / 1","","Vet inte. Den ser riktig ut. Detaljerad på rätt sätt. ","-- / 0","","Nej","1.00 / 1","","Vet inte. ","-- / 0","","Ja","1.00 / 1","","Något med kattens päls ","-- / 0","","Nej","1.00 / 1","","Blommorna ser ""riktiga"" ut. ","-- / 0","","Nej","1.00 / 1","","Vet ej. Ser ""äkta"" ut. ","-- / 0","","Ja","1.00 / 1","","Träden längre bak ser inte äkta ut ","-- / 0","","Nej","1.00 / 1","","Smutset på näbben ser riktig ut ","-- / 0","","Nej","1.00 / 1","","Ser detaljerat äkta ut ","-- / 0","","Nej","0.00 / 1","","Vet ej. ","-- / 0","","Nej","1.00 / 1","","Spåren i snön","-- / 0","","Nej","1.00 / 1","","Glans i ögon och skuggorna ","-- / 0","","Ja","1.00 / 1","","Naglarna ser ""för perfekta"" ut.","-- / 0","","Ja","0.00 / 1","","Något med hundens mungipor ","-- / 0","","","-- / 0",""
"2024/03/27 11:59:49 fm EET","5.00 / 15","86","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
"2024/03/27 1:42:27 em EET","13.00 / 15","32","-- / 0","","5","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Inte tillräckligt ”perfekt”","-- / 0","","Ja","1.00 / 1","","Mannens finger runt kaffekoppen ser inte normalt ut","-- / 0","","Nej","1.00 / 1","","Ser inga konstigheter","-- / 0","","Ja","0.00 / 1","","Isblocket som ligger uppe på isflaket ser lite suspekt ut.","-- / 0","","Ja","1.00 / 1","","Kattpäls ser inte ut sådär ","-- / 0","","Nej","1.00 / 1","","Alla reflektioner ser ut att stämma","-- / 0","","Nej","1.00 / 1","","Ser inget som ser konstigt ut","-- / 0","","Ja","1.00 / 1","","trädens grenar och solens reflektion i vattnet ","-- / 0","","Nej","1.00 / 1","","Ser inget konstigt ","-- / 0","","Nej","1.00 / 1","","Ser inte något konstigt ","-- / 0","","Ja","1.00 / 1","","Grodans fötter ","-- / 0","","Nej","1.00 / 1","","Den ställningen som poppar upp till höger ser inte ut som något en AI skulle hitta på","-- / 0","","Nej","1.00 / 1","","Fokusen","-- / 0","","Nej","0.00 / 1","","Ser inget konstigt ","-- / 0","","Nej","1.00 / 1","","Ser inget konstigt ","-- / 0","","","-- / 0",""
"2024/03/27 1:52:49 em EET","15.00 / 15","33","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Mannens fingrar är konstriga, knapparna på jackorna är ologiska, generellt plastig vibe","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","konstig mängd morrhår, skärpan på pälsen känns fel","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","En av grenarna på vänstersidan är orimligt lång, ser ut som en sladd nästan","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","extra tår till höger som inte tillhör någon groda","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","naglarna på fingrarna stämmer inte med fingrarnas vridning","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Om man väljer att öppna bilden i en ny tab, så står det ett filnamn i titeln (eller om man tittar på filnamnet på ett annat sätt). Man kan se på hur de är döpta om de är genererade eller inte. Jag har försökt att inte låta mig bli biased i mina svar, men kan inte lova att jag hade svarat samma på grodbilden om jag inte märkt det. :x","-- / 0",""
"2024/03/27 2:12:22 em EET","15.00 / 15","36","-- / 0","","4","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","Tydligt smink","-- / 0","","Ja","1.00 / 1","","Glossy och smooth","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","Nackpälsen","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","Händerna","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Facit?! t@dsv.su.se","-- / 0",""
"2024/03/27 2:55:55 em EET","10.00 / 15","33","-- / 0","","6","-- / 0","","Jag samtycker","-- / 0","","Ja","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","0.00 / 1","","","-- / 0","","Ja","0.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","Ja","1.00 / 1","","","-- / 0","","Nej","1.00 / 1","","","-- / 0","","","-- / 0",""
